race_slug,race_id,driver_id,finishing_position,starting_position,car_number,status,laps,notes
2003-dairy-days-75,,181,11,,,,,
2003-dairy-days-75,,10667,12,,,,,
2003-dairy-days-75,,14363,13,,,,,
2003-dairy-days-75,,11765,14,,,,,
2003-dairy-days-75,,13668,15,,,,,
2003-dairy-days-75,,14762,16,,,,,
2003-dairy-days-75,,12529,17,,,,,
2003-dairy-days-75,,14187,18,,,,,
2003-dairy-days-75,,8314,19,,,,,
2003-dairy-days-75,,8526,20,,,,,
2003-dairy-days-75,,8715,21,,,,,
2003-dairy-days-75,,20139,22,,,,,
2003-larry-detjens-memorial,,4194,1,,,,,
2003-larry-detjens-memorial,,10910,2,,,,,
2003-larry-detjens-memorial,,8314,3,,,,,
2003-larry-detjens-memorial,,8526,4,,,,,
2003-larry-detjens-memorial,,12529,5,,,,,
2003-larry-detjens-memorial,,516,6,,,,,
2003-larry-detjens-memorial,,20139,7,,,,,
2003-larry-detjens-memorial,,15955,8,,,,,
2003-larry-detjens-memorial,,10667,9,,,,,
2003-larry-detjens-memorial,,3355,10,,,,,
2003-larry-detjens-memorial,,181,11,,,,,
2003-larry-detjens-memorial,,15732,12,,,,,
2003-larry-detjens-memorial,,14187,13,,,,,
2003-larry-detjens-memorial,,11091,14,,,,,
2003-larry-detjens-memorial,,20326,15,,,,,
2003-larry-detjens-memorial,,23689,16,,,,,
2003-larry-detjens-memorial,,11096,17,,,,,
2003-larry-detjens-memorial,,19584,18,,,,,
2003-larry-detjens-memorial,,13291,19,,,,,
2003-larry-detjens-memorial,,20643,20,,,,,
2003-larry-detjens-memorial,,17569,21,,,,,
2003-larry-detjens-memorial,,null,22,,,,,
2003-north-american-cup,,13983,1,,,,,
2003-north-american-cup,,17512,2,,,,,
2003-north-american-cup,,8314,3,,,,,
2003-north-american-cup,,10910,4,,,,,
2003-north-american-cup,,8526,5,,,,,
2003-north-american-cup,,4194,6,,,,,
2003-north-american-cup,,3880,7,,,,,
2003-north-american-cup,,603,8,,,,,
2003-north-american-cup,,12529,9,,,,,
2003-north-american-cup,,14363,10,,,,,
2003-north-american-cup,,516,11,,,,,
2003-north-american-cup,,8715,12,,,,,
2003-north-american-cup,,14187,13,,,,,
2003-north-american-cup,,11765,14,,,,,
2003-north-american-cup,,10667,15,,,,,
2003-north-american-cup,,11091,16,,,,,
2003-north-american-cup,,181,17,,,,,
2003-north-american-cup,,20139,18,,,,,
2003-north-american-cup,,22698,19,,,,,
2003-north-american-cup,,20326,20,,,,,
2003-north-american-cup,,5276,21,,,,,
2003-north-american-cup,,14762,22,,,,,
2003-creek-classic-100,,8314,1,,,,,
2003-creek-classic-100,,9537,2,,,,,
2003-creek-classic-100,,4194,3,,,,,
2003-creek-classic-100,,10910,4,,,,,
2003-creek-classic-100,,22032,5,,,,,
2003-creek-classic-100,,16017,6,,,,,
2003-creek-classic-100,,11096,7,,,,,
2003-creek-classic-100,,3880,8,,,,,
2003-creek-classic-100,,14187,9,,,,,
2003-creek-classic-100,,19122,10,,,,,
2003-creek-classic-100,,15732,11,,,,,
2003-creek-classic-100,,6406,12,,,,,
2003-creek-classic-100,,3693,13,,,,,
2003-creek-classic-100,,11765,14,,,,,
2003-creek-classic-100,,11091,15,,,,,
2003-creek-classic-100,,8526,16,,,,,
2003-creek-classic-100,,8381,17,,,,,
2003-creek-classic-100,,20139,18,,,,,
2003-creek-classic-100,,3355,19,,,,,
2003-creek-classic-100,,10667,20,,,,,
2003-creek-classic-100,,13291,21,,,,,
2003-creek-classic-100,,null,22,,,,,
2003-marshfield-75,,15866,1,,,,,
2003-marshfield-75,,8715,2,,,,,
2003-marshfield-75,,12529,3,,,,,
2003-marshfield-75,,181,4,,,,,
2003-marshfield-75,,13668,5,,,,,
2003-marshfield-75,,14363,6,,,,,
2003-marshfield-75,,10667,7,,,,,
2003-marshfield-75,,14187,8,,,,,
2003-marshfield-75,,3355,9,,,,,
2003-marshfield-75,,22477,10,,,,,
2003-marshfield-75,,8314,11,,,,,
2003-marshfield-75,,15732,12,,,,,
2003-marshfield-75,,8526,13,,,,,
2003-marshfield-75,,13291,14,,,,,
2003-marshfield-75,,18245,15,,,,,
2003-marshfield-75,,6384,16,,,,,
2003-marshfield-75,,14762,17,,,,,
2003-marshfield-75,,4194,18,,,,,
2003-marshfield-75,,516,19,,,,,
2003-marshfield-75,,11096,20,,,,,
2003-marshfield-75,,11091,21,,,,,
2003-marshfield-75,,10910,22,,,,,
2003-geneva-challenge-100,,8314,1,,,,,
2003-geneva-challenge-100,,10413,2,,,,,
2003-geneva-challenge-100,,8079,3,,,,,
2003-geneva-challenge-100,,16295,4,,,,,
2003-geneva-challenge-100,,8469,5,,,,,
2003-geneva-challenge-100,,19122,6,,,,,
2003-geneva-challenge-100,,11352,7,,,,,
2003-geneva-challenge-100,,181,8,,,,,
2003-geneva-challenge-100,,11092,9,,,,,
2003-geneva-challenge-100,,12450,10,,,,,
2003-geneva-challenge-100,,22032,11,,,,,
2003-geneva-challenge-100,,13291,12,,,,,
2003-geneva-challenge-100,,6406,13,,,,,
2003-geneva-challenge-100,,6384,14,,,,,
2003-geneva-challenge-100,,8526,15,,,,,
2003-geneva-challenge-100,,14187,16,,,,,
2003-geneva-challenge-100,,10910,17,,,,,
2003-geneva-challenge-100,,14873,18,,,,,
2003-geneva-challenge-100,,8098,19,,,,,
2003-geneva-challenge-100,,10844,20,,,,,
2003-geneva-challenge-100,,10667,21,,,,,
2003-geneva-challenge-100,,4194,22,,,,,
2003-championship-100,,11096,1,,,,,
2003-championship-100,,21465,2,,,,,
2003-championship-100,,11624,3,,,,,
2003-championship-100,,8715,4,,,,,
2003-championship-100,,4194,5,,,,,
2003-championship-100,,20139,6,,,,,
2003-championship-100,,23147,7,,,,,
2003-championship-100,,10667,8,,,,,
2003-championship-100,,10910,9,,,,,
2003-championship-100,,15732,10,,,,,
2003-championship-100,,181,11,,,,,
2003-championship-100,,15866,12,,,,,
2003-championship-100,,8314,13,,,,,
2003-championship-100,,21903,14,,,,,
2003-championship-100,,15955,15,,,,,
2003-championship-100,,13890,16,,,,,
2003-championship-100,,13291,17,,,,,
2003-championship-100,,3693,18,,,,,
2003-championship-100,,14187,19,,,,,
2003-championship-100,,6384,20,,,,,
2003-championship-100,,22032,21,,,,,
2003-championship-100,,8526,22,,,,,
2004-spring-thaw-100,,8314,1,,,,,
2004-spring-thaw-100,,8526,2,,,,,
2004-spring-thaw-100,,11210,3,,,,,
2004-spring-thaw-100,,23035,4,,,,,
2004-spring-thaw-100,,7419,5,,,,,
2004-spring-thaw-100,,22275,6,,,,,
2004-spring-thaw-100,,21903,7,,,,,
2004-spring-thaw-100,,21377,8,,,,,
2004-spring-thaw-100,,603,9,,,,,
2004-spring-thaw-100,,15866,10,,,,,
2004-spring-thaw-100,,11007,11,,,,,
2004-spring-thaw-100,,5230,12,,,,,
2004-spring-thaw-100,,10667,13,,,,,
2004-spring-thaw-100,,8079,14,,,,,
2004-spring-thaw-100,,11080,15,,,,,
2004-spring-thaw-100,,4194,16,,,,,
2004-spring-thaw-100,,18287,17,,,,,
2004-spring-thaw-100,,14187,18,,,,,
