source_series_slug,source_season_year,source_race_number,source_url,race_date,track_name,track_slug,class_name,event_slug,finishing_position,driver_name_raw,driver_name_clean,driver_slug_guess,matched_driver_id,matched_driver_name,match_status,notes
wisconsin-challenge-series,2002,3,,"May 26, 2002",Marshfield Motor Speedway,marshfield-motor-speedway,Super Late Model,2002-memorial-75,2,Jeff Weinfurter,Jeff Weinfurter,jeff-weinfurter,11096,Jeff Weinfurter,matched,
wisconsin-challenge-series,2002,3,,"May 26, 2002",Marshfield Motor Speedway,marshfield-motor-speedway,Super Late Model,2002-memorial-75,3,Kenny Reiser,Kenny Reiser,kenny-reiser,14187,Ken Reiser,alias_matched,
wisconsin-challenge-series,2002,3,,"May 26, 2002",Marshfield Motor Speedway,marshfield-motor-speedway,Super Late Model,2002-memorial-75,4,Kyle Kinder,Kyle Kinder,kyle-kinder,14762,Kyle Kinder,matched,
wisconsin-challenge-series,2002,3,,"May 26, 2002",Marshfield Motor Speedway,marshfield-motor-speedway,Super Late Model,2002-memorial-75,5,Todd Stapleman,Todd Stapleman,todd-stapleman,22477,Todd Stapleman,matched,
wisconsin-challenge-series,2002,3,,"May 26, 2002",Marshfield Motor Speedway,marshfield-motor-speedway,Super Late Model,2002-memorial-75,6,Keith Bohmsach,Keith Bohmsach,keith-bohmsach,13890,Keith Bohmsach,matched,
wisconsin-challenge-series,2002,3,,"May 26, 2002",Marshfield Motor Speedway,marshfield-motor-speedway,Super Late Model,2002-memorial-75,7,Allen Check,Allen Check,allen-check,516,Allen Check,matched,
wisconsin-challenge-series,2002,3,,"May 26, 2002",Marshfield Motor Speedway,marshfield-motor-speedway,Super Late Model,2002-memorial-75,8,Mark Eswein,Mark Eswein,mark-eswein,15866,Mark Eswein,matched,
wisconsin-challenge-series,2002,3,,"May 26, 2002",Marshfield Motor Speedway,marshfield-motor-speedway,Super Late Model,2002-memorial-75,9,Judd Brandl,Judd Brandl,judd-brandl,13668,Judd Brandl,matched,
wisconsin-challenge-series,2002,3,,"May 26, 2002",Marshfield Motor Speedway,marshfield-motor-speedway,Super Late Model,2002-memorial-75,10,Chris Weinkauf,Chris Weinkauf,chris-weinkauf,4194,Chris Weinkauf,matched,
wisconsin-challenge-series,2002,3,,"May 26, 2002",Marshfield Motor Speedway,marshfield-motor-speedway,Super Late Model,2002-memorial-75,11,M.G. Gajewski,M.G. Gajewski,m-g-gajewski,15732,M.G. Gajewski,matched,
wisconsin-challenge-series,2002,3,,"May 26, 2002",Marshfield Motor Speedway,marshfield-motor-speedway,Super Late Model,2002-memorial-75,12,Jeremy Lepak,Jeremy Lepak,jeremy-lepak,11210,Jeremy Lepak,matched,
