series_event_id,finishing_position,starting_position,car_number,driver_id,driver_name,driver_slug,sponsor,make,laps,led,status,points,result_section,source_url
264,17,,,22032,Terry Van Roy,terry-van-roy,,,,,,,feature,
264,18,,,17512,Nathan Haseleu,nathan-haseleu,,,,,,,feature,
264,19,,,14187,Ken Reiser,kenny-reiser,,,,,,,feature,
264,20,,,20139,Rory Melbinger,rory-melbinger,,,,,,,feature,
264,21,,,null,Jon Hornby,jon-hornby,,,,,,,feature,
264,22,,,10667,Jason Weinkauf,jason-weinkauf,,,,,,,feature,
265,1,,,11096,Jeff Weinfurter,jeff-weinfurter,,,,,,,feature,
265,2,,,10667,Jason Weinkauf,jason-weinkauf,,,,,,,feature,
265,3,,,4194,Chris Weinkauf,chris-weinkauf,,,,,,,feature,
265,4,,,21465,Steve Holzhausen,steve-holzhausen,,,,,,,feature,
265,5,,,14187,Ken Reiser,kenny-reiser,,,,,,,feature,
265,6,,,2469,Brad Mueller,brad-mueller,,,,,,,feature,
265,7,,,8526,Frank Kreyer,frank-kreyer,,,,,,,feature,
265,8,,,10910,Jeff Kendall,jeff-kendall,,,,,,,feature,
265,9,,,12529,Joe Kryzkowski,joe-krzykowski,,,,,,,feature,
265,10,,,8314,Erik Darnell,erik-darnell,,,,,,,feature,
265,11,,,16985,Mike Langsdorf,mike-langsdorf,,,,,,,feature,
265,12,,,15732,M.G. Gajewski,m-g-gajewski,,,,,,,feature,
265,13,,,516,Allen Check,allen-check,,,,,,,feature,
265,14,,,14363,Kevin Brescia,kevin-brescia,,,,,,,feature,
265,15,,,1124,Benjamin Brinkman,benjamin-brinkman,,,,,,,feature,
265,16,,,12161,"Jim Sauter, Jr.",jim-sauter-jr,,,,,,,feature,
265,17,,,15866,Mark Eswein,mark-eswein,,,,,,,feature,
265,18,,,8535,Frank Nitzke,frank-nitzke,,,,,,,feature,
265,19,,,4481,Clint Sillars,clint-sillars,,,,,,,feature,
265,20,,,11091,Jeff Watters,jeff-watters,,,,,,,feature,
