series_slug,series_name,season_year,race_number,race_date,race_date_raw,race_name,race_url,track_display,track_url,winner_name,winner_url,source_file
wisconsin-challenge-series,Wisconsin Challenge Series,2007,4,2007-05-28,28 May 2007,4,https://www.thethirdturn.com/wiki/2007_Memorial_100,"Plover, WI",https://www.thethirdturn.com/wiki/Golden_Sands_Speedway,Jeremy Lepak,https://www.thethirdturn.com/wiki/Jeremy_Lepak,2007_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2007,5,2007-06-09,9 June 2007,5,https://www.thethirdturn.com/wiki/2007_Red_Race_No._1,"Kaukauna, WI",https://www.thethirdturn.com/wiki/Wisconsin_International_Raceway,Mike Gardner,https://www.thethirdturn.com/wiki/Mike_Gardner,2007_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2007,6,2007-06-09,9 June 2007,6,https://www.thethirdturn.com/wiki/2007_Red_Race_No._2,"Kaukauna, WI",https://www.thethirdturn.com/wiki/Wisconsin_International_Raceway,Gregg Haese,https://www.thethirdturn.com/wiki/Gregg_Haese,2007_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2007,7,2007-06-30,30 June 2007,7,https://www.thethirdturn.com/wiki/2007_North_American_Cup,"Wisconsin Dells, WI",https://www.thethirdturn.com/wiki/Dells_Raceway_Park,Tim Rothe,https://www.thethirdturn.com/wiki/Tim_Rothe,2007_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2007,8,2007-07-14,14 July 2007,8,https://www.thethirdturn.com/wiki/2007_V_%26_H_Heavy_Truck_80,"Marshfield, WI",https://www.thethirdturn.com/wiki/Marshfield_Motor_Speedway,Kenny Richards,https://www.thethirdturn.com/wiki/Kenny_Richards,2007_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2007,9,2007-07-27,27 July 2007,9,https://www.thethirdturn.com/wiki/2007_McCain_Food_Sands_100,"Plover, WI",https://www.thethirdturn.com/wiki/Golden_Sands_Speedway,Steve Holzhausen,https://www.thethirdturn.com/wiki/Steve_Holzhausen,2007_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2007,10,2007-09-07,7 September 2007,10,https://www.thethirdturn.com/wiki/2007_Tribute_to_America_100,"Oregon, WI",https://www.thethirdturn.com/wiki/Madison_International_Speedway,Andy Monday,https://www.thethirdturn.com/wiki/Andy_Monday,2007_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2007,11,2007-09-15,15 September 2007,11,https://www.thethirdturn.com/wiki/2007_Championship_80,"Marshfield, WI",https://www.thethirdturn.com/wiki/Marshfield_Motor_Speedway,Mark Eswein,https://www.thethirdturn.com/wiki/Mark_Eswein,2007_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2008,1,2008-05-26,26 May 2008,1,https://www.thethirdturn.com/wiki/2008_Memorial_100,"Plover, WI",https://www.thethirdturn.com/wiki/Golden_Sands_Speedway,Chris Weinkauf,https://www.thethirdturn.com/wiki/Chris_Weinkauf,2008_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2008,2,2008-06-14,14 June 2008,2,https://www.thethirdturn.com/wiki/2008_Red_Race,"Kaukauna, WI",https://www.thethirdturn.com/wiki/Wisconsin_International_Raceway,Jeff Van Oudenhoven,https://www.thethirdturn.com/wiki/Jeff_Van_Oudenhoven,2008_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2008,3,2008-07-05,5 July 2008,3,https://www.thethirdturn.com/wiki/2008_North_American_Cup,"Wisconsin Dells, WI",https://www.thethirdturn.com/wiki/Dells_Raceway_Park,Steve Holzhausen,https://www.thethirdturn.com/wiki/Steve_Holzhausen,2008_wisconsin_challenge_series.html
