Race,Track,track,slug,track_id,Date,DriverName,,slug,driver_id,DriverStart,DriverFinish,DriverNum,DriverSponsor,DriverMake,DriverLaps,DriverLed,DriverStatus,DriverPts,,
1986 Summer Nationals Race No. 1,Dells Raceway Park,Dells Motor Speedway,dells-motor-speedway-wi,49,26-Jul-86,Bobby Iverson,Bob Iverson,bob-iverson,1929,,10,,,,,,,,,DeWaine McGunegill
1986 Summer Nationals Race No. 2,Dells Raceway Park,Dells Motor Speedway,dells-motor-speedway-wi,49,26-Jul-86,Bobby Iverson,Bob Iverson,bob-iverson,1929,,18,,,,,,,,,Dick Barker
1986 Summer Nationals Race No. 3,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,27-Jul-86,Bobby Iverson,Bob Iverson,bob-iverson,1929,,9,,,,,,,,,Dick Kirkman
1986 Summer Nationals Race No. 4,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,27-Jul-86,Bobby Iverson,Bob Iverson,bob-iverson,1929,,6,,,,,,,,,Don Biederman
1986 Miller High Life/Newscenter 11 Dixieland Challenge,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,5-Aug-86,Bobby Iverson,Bob Iverson,bob-iverson,1929,,9,,,,,,,,,Don Crnkovich
1987 ARTGO Spring Nationals Race No. 1,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,25-May-87,Bobby Iverson,Bob Iverson,bob-iverson,1929,,10,,,,,,,,,Don Mallat
1987 ARTGO Spring Nationals Race No. 2,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,25-May-87,Bobby Iverson,Bob Iverson,bob-iverson,1929,,17,,,,,,,,,Don Marrant
1988 Miller High Life/TV-5 Spring Nationals Race No. 1,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,30-May-88,Bobby Iverson,Bob Iverson,bob-iverson,1929,,20,,,,,,,,,Don Moon
1988 Miller High Life/TV-5 Spring Nationals Race No. 2,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,30-May-88,Bobby Iverson,Bob Iverson,bob-iverson,1929,,18,,,,,,,,,Don Turner (WI)
1988 Skoal Racing Classic,Milwaukee Mile,Milwaukee Mile,milwaukee-mile-wi,125,26-Jun-88,Bobby Iverson,Bob Iverson,bob-iverson,1929,,8,,,,60,,running,,,Doug Figna
1985 Miller High Life Dixieland Challenge,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,7-Aug-85,Bobby McDonald,Bob McDonald,bob-mcdonald,2027,,16,,,,53,,,,,Doug Frost
1986 ARTGO Spring Classic,Rockford Speedway,Rockford Speedway,rockford-speedway-il,174,4-May-86,Bobby McDonald,Bob McDonald,bob-mcdonald,2027,,12,,,,85,,,,,Doug Hillson
1986 ARTGO Indiana Challenge Race No. 1,Baer Field Motorsports Park,Baer Field Motorsports Park,baer-field-motorsports-park-in,236,10-May-86,Bobby McDonald,Bob McDonald,bob-mcdonald,2027,,13,,,,,,,,,Doug Klein
1986 ARTGO Indiana Challenge Race No. 2,Baer Field Motorsports Park,Baer Field Motorsports Park,baer-field-motorsports-park-in,236,10-May-86,Bobby McDonald,Bob McDonald,bob-mcdonald,2027,,14,,,,,,,,,Doug Lane
1986 Michigan 100,Berlin Raceway,Berlin Raceway,berlin-raceway-mi,234,24-May-86,Bobby McDonald,Bob McDonald,bob-mcdonald,2027,,13,,,,52,,,,,Doug Mayr
1986 Newscenter 11 Miller Spring Nationals Race No. 1,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,25-May-86,Bobby McDonald,Bob McDonald,bob-mcdonald,2027,,15,,,,,,,,,Doug Poink
1986 Newscenter 11 Miller Spring Nationals Race No. 2,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,25-May-86,Bobby McDonald,Bob McDonald,bob-mcdonald,2027,,18,,,,,,,,,Doug Richards
1986 Auto City 100,Auto City Speedway,Auto City Speedway,auto-city-speedway-mi,239,12-Jun-86,Bobby McDonald,Bob McDonald,bob-mcdonald,2027,,20,,,,,,,,,Duke Gardiner
1986 London Free Press 100,Delaware Speedway,Delaware Speedway,delaware-speedway-onT,240,13-Jun-86,Bobby McDonald,Bob McDonald,bob-mcdonald,2027,,21,,,,33,,,,,"Duke Nalon, III"
1986 Big A Minnesota State Championship,Elko Speedway,Elko Speedway,elko-speedway-mn,60,3-Jul-86,Bobby McDonald,Bob McDonald,bob-mcdonald,2027,,15,,,,64,,,,,Ed Cooper
1986 ARTGO All-Star 100,Rockford Speedway,Rockford Speedway,rockford-speedway-il,174,15-Jul-86,Bobby McDonald,Bob McDonald,bob-mcdonald,2027,,23,,,,0,,,,,Fran Prestey
1987 London Free Press Canadian Challenge 100,Delaware Speedway,Delaware Speedway,delaware-speedway-onT,240,12-Jun-87,Bobby McDonald,Bob McDonald,bob-mcdonald,2027,,25,,,,5,,,,,"Frank Giuffre, Jr."
1987 Auto City 100,Auto City Speedway,Auto City Speedway,auto-city-speedway-mi,239,14-Jun-87,Bobby McDonald,Bob McDonald,bob-mcdonald,2027,,15,,,,94,,,,,Fred Barker
1993 Dixieland 250,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,3-Aug-93,Bobby McDonald,Bob McDonald,bob-mcdonald,2027,,17,,,,239,,,,,Fred Becker
1995 ARTGO Tournament of Speed,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,9-Sep-95,Bobby McDonald,Bob McDonald,bob-mcdonald,2027,,13,,,,99,,,,,Fred Campbell
1996 ARTGO Spring Nationals,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,27-May-96,Bobby McDonald,Bob McDonald,bob-mcdonald,2027,,22,,,,96,,,,,Fred Gignac
1995 ARTGO Western Swing USA Challenge 100,Bolivar Speedway,Bolivar Speedway,bolivar-speedway-mo,244,1-Sep-95,Bobby Menzie,Bobby Menzie,#N/A,#N/A,,18,,,,66,,,,,Fred Gingac
1983 ARTGO Spring Classic,Rockford Speedway,Rockford Speedway,rockford-speedway-il,174,10-Apr-83,Bobby Weiss,Bobby Weiss,bobby-weiss,2369,,,,,,,,DNQ,,,Fred Malecki
1983 ARTGO Summer Nationals,Madison International Speedway,Capital Super Speedway,capital-super-speedway-wi,31,3-Jul-83,Bobby Weiss,Bobby Weiss,bobby-weiss,2369,,13,,,Firebird,84,,,,,Fred Mott
1983 Summer Nationals Dairyland 100 Race No. 1,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,4-Jul-83,Bobby Weiss,Bobby Weiss,bobby-weiss,2369,,,,,,,,DNQ,,,G.I. Tarbuck
